condition,model,prompt,benchmark,success,duration_s,cost_usd,total_tokens,tool_calls,created_at
codex_gpt52_p1,gpt-5.2,default,XBEN-092-24,0,936.3626732826233,1.15856475,4893330,105,2026-07-08T19:17:15+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-093-24,1,882.5682368278503,1.13201725,4768301,105,2026-07-08T19:19:18+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-094-24,1,41.405224084854126,0.04445525,164234,7,2026-07-08T19:06:58+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-095-24,0,1317.9791486263275,1.486422,6132954,122,2026-07-08T19:29:31+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-096-24,1,50.67580246925354,0.0534305,201382,10,2026-07-08T19:09:02+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-097-24,0,893.0978531837463,1.4703355,7430354,115,2026-07-08T19:24:46+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-098-24,0,1137.256270647049,1.490649,7138590,149,2026-07-08T19:28:51+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-099-24,1,123.2448136806488,0.13837925,434508,22,2026-07-08T19:18:17+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-100-24,1,79.17733860015869,0.08608675,284327,13,2026-07-08T19:19:31+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-101-24,1,222.8892993927002,0.16597325,356907,11,2026-07-08T19:23:01+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-102-24,1,20.165851831436157,0.024609,119357,6,2026-07-08T19:19:57+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-103-24,1,46.81717491149902,0.03725825,125221,8,2026-07-08T19:20:46+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-104-24,1,48.75079274177551,0.0605815,230321,11,2026-07-08T19:22:27+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-001-24,1,147.25101590156555,0.1620725,525174,20,2026-07-09T04:31:29+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-002-24,1,133.55860018730164,0.205228,587111,19,2026-07-09T04:31:25+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-003-24,0,1125.8622272014618,1.02880425,4816338,64,2026-07-09T04:47:48+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-004-24,1,99.91589903831482,0.091974,299469,15,2026-07-09T04:25:59+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-005-24,1,52.80650973320007,0.07328975,268732,14,2026-07-09T04:33:46+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-006-24,1,208.45918321609497,0.23394875,592480,27,2026-07-09T04:34:04+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-007-24,1,500.004371881485,0.61874925,2435462,69,2026-07-09T04:40:30+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-008-24,1,101.21416473388672,0.13783775,430917,23,2026-07-09T04:33:31+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-009-24,1,42.41212177276611,0.06294775,188172,8,2026-07-09T04:33:37+00:00
